journal_name,abdc_rank,source_id,openalex_name,issn_l,works_count,match_score
Australasian Accounting Business and Finance Journal,C,https://openalex.org/S2765036513,Australasian Accounting Business and Finance Journal,1834-2000,655,1.0
Asian Economic and Financial Review,C,https://openalex.org/S2764525551,Asian Economic and Financial Review,2222-6737,1166,1.0
Banks and Bank Systems,C,https://openalex.org/S2764465937,Banks and Bank Systems,1816-7403,769,1.0
Journal of Emerging Market Finance,C,https://openalex.org/S150848784,Journal of Emerging Market Finance,0972-6527,363,1.0
International Journal of Finance,C,https://openalex.org/S126021079,International Journal of Sport Finance,1558-6235,570,0.9142857142857144
Journal of Financial Reporting and Accounting,C,https://openalex.org/S130164084,Journal of financial reporting & accounting,1985-2517,838,0.9545454545454546
Studies in Economics and Finance,C,https://openalex.org/S141165859,Studies in Economics and Finance,1086-7376,882,1.0
Review of Financial Economics,C,https://openalex.org/S105710273,Review of Financial Economics,1058-3300,1000,1.0
China Finance Review International,C,https://openalex.org/S2764509274,China Finance Review International,2044-1398,460,1.0
Cogent Economics and Finance,C,https://openalex.org/S2765075218,Cogent Economics & Finance,2332-2039,2231,0.925925925925926
Journal of Risk Finance,C,https://openalex.org/S61561007,The Journal of Risk Finance,1526-5943,915,0.92
Journal of Wealth Management,C,https://openalex.org/S115276198,The Journal of Wealth Management,1520-4154,27,0.9333333333333332
